NSX, Description, New Price, Discount percent, Old Price, 
Eucerin, Sữa Tắm Eucerin Dịu Nhẹ Cho Da Nhạy Cảm 1000ml, 438.000 ₫, 12%, 499.000 ₫, 
Dove, Sữa Tắm Dưỡng Thể Dove Da Ẩm Mịn Lưu Hương Ngọt Ngào 900g, 169.000 ₫, 25%, 226.000 ₫, 
On: The Body, Sữa Tắm On: The Body Dưỡng Ẩm Hương Thư Giãn 1000g, 178.000 ₫, 30%, 255.000 ₫, 
Banana Boat, Xịt Chống Nắng Banana Boat Thể Thao SPF 100 PA+++ 170g, 218.000 ₫, 22%, 280.000 ₫, 
Pelican, Xà Phòng Pelican Làm Giảm Mụn Và Thâm Mông 80g, 75.000 ₫, 56%, 169.000 ₫, 
EtiaXil, Lăn Khử Mùi EtiaXil Nhãn Nâu Cho Da Siêu Nhạy Cảm 15ml, 162.000 ₫, 49%, 320.000 ₫, 
Old Spice, Sáp Khử Mùi Old Spice Giảm Tiết Mồ Hôi Hương Wolfthorn 73g, 123.000 ₫, 20%, 154.000 ₫, 
Angel's Liquid, Xịt Giảm Mụn Lưng Angel's Liquid Dưỡng Sáng Cơ Thể 150ml, 399.000 ₫, 43%, 699.000 ₫, 
Milaganics, Dầu Dừa Milaganics Ép Lạnh Tinh Khiết 250ml, 90.000 ₫, 57%, 210.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Bảo Vệ Sáng Mịn Ban Ngày 330ml, 108.000 ₫, 28%, 150.000 ₫, 
Cetaphil, Sữa Dưỡng Ẩm Cetaphil Dịu Lành Cho Bé 400ml, 267.000 ₫, 17%, 320.000 ₫, 
Pelican, Xà Phòng Pelican Làm Giảm Mụn Lưng 135g, 79.000 ₫, 47%, 149.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Chống Nắng Và Sáng Da 350ml, 99.000 ₫, 34%, 150.000 ₫, 
EtiaXil, Xịt Khử Mùi EtiaXil Dạng Phun Sương 48H Màu Xanh 150ml, 209.000 ₫, 16%, 249.000 ₫, 
Vaseline, Combo 2 Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml, 226.000 ₫, 25%, 300.000 ₫, 
Old Spice, Sáp Khử Mùi Old Spice Giảm Tiết Mồ Hôi Hương Bearglove 73g, 128.000 ₫, 17%, 154.000 ₫, 
Nivea, Xịt Khử Mùi Nivea Cho Nữ Sáng Da, 95.000 ₫, 12%, 108.000 ₫, 
Old Spice, Sáp Khử Mùi Old Spice Hương Fresh Tươi Mát 85g, 118.000 ₫, 9%, 130.000 ₫, 
Bio-Oil, Dầu Chăm Sóc Da Bio-Oil Làm Giảm Rạn Da, 293.000 ₫, 11%, 330.000 ₫, 
Hatomugi, Sữa Tắm Hatomugi Dưỡng Ẩm, 80.000 ₫, 65%, 230.000 ₫, 
Dove, Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g, 149.000 ₫, 25%, 199.000 ₫, 
Cocoon, Túi Refill Tẩy Da Chết Toàn Thân Cocoon Sạch Da 600ml, 292.000 ₫, 10%, 325.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml, 65.000 ₫, 33%, 97.000 ₫, 
