NSX, Description, New Price, Discount percent, Old Price, 
DHC, Viên Uống DHC Bổ Sung Vitamin E Gói 90 Viên 90 Ngày, 349.000 ₫, 22%, 450.000 ₫, 
Rohto, Kẹo Ngậm Bổ Mắt Rohto Clear Vision Junior Túi 60 Viên, 300.000 ₫, 22%, 385.000 ₫, 
Swisse, Viên Uống Nam Việt Quất Swisse Hỗ Trợ Đường Tiết Niệu 30 Viên, 388.000 ₫, 7%, 417.000 ₫, 
DHC, Viên Uống Khoáng Tổng Hợp DHC (New) Gói 90 Viên (30 Ngày), 149.000 ₫, 17%, 180.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 60 Viên 30 Ngày, 79.000 ₫, 17%, 95.000 ₫, 
Elasten, Nước Uống Collagen Elasten Thủy Phân 28 Ống x 25ml, 2.000.000 ₫, 20%, 2.500.000 ₫, 
DHC, Viên Uống DHC Zinc Bổ Sung Kẽm Gói 30 Viên (30 Ngày), 89.000 ₫, 19%, 110.000 ₫, 
Blackmores, Viên Uống Blackmores Tinh Dầu Hoa Anh Thảo 190 Viên, 729.000 ₫, 26%, 986.944 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx10, 416.000 ₫, 22%, 530.000 ₫, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 120 Viên 30 Ngày, 209.000 ₫, 21%, 265.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Bổ Sung Collagen (50mlx10 Chai), 1.216.000 ₫, 26%, 1.650.000 ₫, 
DHC, Viên Uống DHC Biotin Ngăn Rụng Tóc Gói 30 Viên 30 Ngày, 119.000 ₫, 26%, 160.000 ₫, 
DHC, Viên Uống DHC Chiết Xuất Ý Dĩ Làm Sáng Da Gói 30 Viên 30 Ngày, 185.000 ₫, 24%, 245.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 180 Viên 90 Ngày, 199.000 ₫, 20%, 250.000 ₫, 
Nucos, Viên Uống Nucos Sáng Da, 535.000 ₫, 10%, 595.000 ₫, 
Gilaa, Bột Uống Collagen Gilaa Kết Hợp Saffron 2gx60 Gói, 435.000 ₫, 38%, 700.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx10, 451.000 ₫, 51%, 920.000 ₫, 
DHC, Viên Uống Collagen DHC (New) Đẹp Da Gói 540 Viên 90 Ngày, 530.000 ₫, 29%, 750.000 ₫, 
MENARD, Nước Uống Collagen Nội Sinh Menard Collagen Gold 30mlx10chai, 660.000 ₫, 45%, 1.200.000 ₫, 
Innerb, Combo Nước Uống Collagen InnerB (50mlx6) & Viên Uống Aqua Rich Doubleup (56 Viên), 768.000 ₫, 37%, 1.210.000 ₫, 
Costar, Viên Uống Costar Sữa Ong Chúa 60 Viên, 190.000 ₫, 38%, 308.000 ₫, 
Costar, Viên Uống Costar Sụn Cá Mập Hỗ Trợ Xương Khớp 30 Viên, 125.000 ₫, 37%, 198.000 ₫, 
Rohto, [HSD 07/2024] Viên Uống Bổ Mắt Rohto V5 Bảo Vệ Sức Khỏe Hộp 30 Viên, 261.000 ₫, 46%, 485.000 ₫, 
Adiva, Nước Uống Làm Đẹp Adiva Collagen 8 Chai/Hộp, 379.000 ₫, 20%, 475.000 ₫, 
Innerb, Thực Phẩm Bảo Vệ Sức Khỏe InnerB Aqua Bank 56 Viên (HSD 03/2024), 367.000 ₫, 41%, 619.000 ₫, 
DHC, Viên Uống DHC Tinh Chất Nghệ Cô Đặc 30 Ngày Gói 60 Viên, 299.000 ₫, 23%, 390.000 ₫, 
Aishitoto, Thạch Hỗ Trợ Tiêu Hóa Aishitoto Vị Yogurt Hộp 30 Gói, 555.000 ₫, 20%, 690.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx3, 130.000 ₫, 21%, 165.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx3, 226.000 ₫, 26%, 305.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Yến 50mlx3, 233.000 ₫, 24%, 305.000 ₫, 
Alcofree, Thực Phẩm Bảo Vệ Sức Khỏe Alcofree 50ml, 47.000 ₫, 2%, 48.000 ₫, 
DHC, Combo Viên Uống DHC Zinc Bổ Sung Kẽm Gói 30 Viên & Vitamin C Gói 60 Viên, 175.000 ₫, 19%, 215.000 ₫, 
Blackmores, Combo 2 Lọ Viên Uống Blackmores Tinh Dầu Hoa Anh Thảo 190 Viên/Lọ, 1.645.000 ₫, 15%, 1.938.000 ₫, 
Blackmores, Viên Uống Blackmores Bổ Tim Hỗ Trợ Sức Khỏe Lọ 30 Viên, 445.000 ₫, 20%, 557.000 ₫, 
82X, Nước Uống 82X Placenta Shiharu Làm Đẹp Da 50ml x 1 Lọ, 64.000 ₫, 20%, 80.000 ₫, 
Innerb, Combo 4 Hộp Nước Uống Collagen InnerB & Viên Uống Aqua Rich Doubleup (56 Viên), 1.521.000 ₫, 44%, 2.704.000 ₫, 
