NSX, Description, New Price, Discount percent, Old Price, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 250ml, 183.000 ₫, 16%, 217.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490mlx2, 298.000 ₫, 31%, 430.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Sạch Dầu Mát Lạnh (490ml/chai), 215.000 ₫, 49%, 418.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Dưỡng Tóc Bóng Mượt 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Tóc Bồng Bềnh Tức Thì 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Cocoon, Dầu Gội Bưởi Cocoon Giảm Rụng & Kích Thích Mọc Tóc 310ml, 219.000 ₫, 11%, 245.000 ₫, 
Tsubaki, Mặt Nạ Tóc Tsubaki Cao Cấp Phục Hồi Hư Tổn 180g, 192.000 ₫, 35%, 295.000 ₫, 
Old Spice, Dầu Gội Xả 2in1 Old Spice Cho Nam Hương Gỗ Đàn 650ml, 176.000 ₫, 15%, 208.000 ₫, 
Fino, Combo Fino Kem Ủ Tóc 230g + Dầu Dưỡng Tóc Cải Thiện Tóc Hư Tổn 70ml, 330.000 ₫, 28%, 458.000 ₫, 
Clear, Dầu Gội Clear Sạch Gàu Hoa Anh Đào Băng Lạnh 630g (Mới), 139.000 ₫, 20%, 174.000 ₫, 
Batiste, Dầu Gội Khô Batiste Hương Hoa Anh Đào 200ml, 138.000 ₫, 12%, 156.000 ₫, 
Dove, Kem Xả Dove Serum 2in1 Phục Hồi & Ngăn Gãy Rụng 230ml, 161.000 ₫, 30%, 230.000 ₫, 
Reen, Kem Nhuộm Tóc Reen Phủ Bạc Thảo Dược Màu Nâu Sáng 128g, 161.000 ₫, 1%, 162.000 ₫, 
Ellips, Serum Dưỡng Tóc Ellips Vitamin Óng Mượt Hũ 50 Viên, 184.000 ₫, 14%, 212.930 ₫, 
Double Rich, Nước Xịt Dưỡng Tóc Double Rich Cho Tóc Khô Xơ, 34.000 ₫, 35%, 52.000 ₫, 
TRESemmé, Dầu Gội TRESemmé Detox Tóc Chắc Khỏe & Sạch Sâu 850g, 193.000 ₫, 27%, 263.000 ₫, 
Vichy, Dầu Gội Vichy Giảm Gàu Cho Da Đầu Nhạy Cảm 200ml, 332.000 ₫, 20%, 415.000 ₫, 
L'Oreal, Kem Nhuộm L'Oreal Dưỡng Tóc Sâu 6.1 Nâu Lạnh 172ml, 169.000 ₫, 15%, 199.000 ₫, 
Tsubaki, Dầu Dưỡng Tóc Tsubaki Phục Hồi Hư Tổn 50ml, 208.000 ₫, 39%, 339.000 ₫, 
Olaplex, Dầu Dưỡng Olaplex No.7 Giúp Tóc Bóng Mượt, 690.000 ₫, 22%, 890.000 ₫, 
Aromatica, Xịt Dưỡng Chân Tóc Aromatica Chiết Xuất Hương Thảo 100ml, 264.000 ₫, 37%, 416.000 ₫, 
Pantene, Dầu Gội Pantene Ngăn Rụng Tóc 650ml, 144.000 ₫, 13%, 165.000 ₫, 
Olaplex, Bộ Gội Xả Olaplex Phục Hồi, 1.380.000 ₫, 22%, 1.780.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Bền Màu Tóc Nhuộm 300ml, 249.000 ₫, 43%, 439.000 ₫, 
Dove, Dầu Gội Dove Phục Hồi & Ngăn Gãy Rụng 380ml, 140.000 ₫, 39%, 230.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Dưỡng Tóc Bóng Mượt 490mlx2, 356.000 ₫, 17%, 430.000 ₫, 
Ellips, Serum Dưỡng Tóc Ellips Vitamin Phục Hồi Hư Tổn Hũ 50 viên, 193.000 ₫, 9%, 212.930 ₫, 
Pantene, Dầu Xả Pantene Ngăn Rụng Tóc 650ml, 131.000 ₫, 21%, 165.000 ₫, 
Naris Cosmetics, Dầu Gội Naris Nature Dịu Nhẹ Hương Hoa Tươi Mát 500ml, 395.000 ₫, not available, not available, 
Dove, Kem Xả Dove Phục Hồi Hư Tổn 1 Phút Siêu Dưỡng 300ml, 89.000 ₫, 26%, 120.000 ₫, 
Clear, Dầu Gội Clear Men Sạch Gàu Cool Sport Bạc Hà 900g (Mới), 170.000 ₫, 26%, 229.000 ₫, 
Milaganics, Serum Bưởi Milaganics Ngăn Rụng & Kích Thích Mọc Tóc 500ml, 175.000 ₫, 46%, 327.000 ₫, 
Milaganics, Serum Bưởi Milaganics Ngăn Rụng & Kích Thích Mọc Tóc 100ml, 58.000 ₫, 47%, 109.000 ₫, 
Bigen, Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem #5 Nâu Sẫm 80ml, 244.000 ₫, 1%, 246.000 ₫, 
Fino, Dầu Dưỡng Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 70ml, 186.000 ₫, 25%, 249.000 ₫, 
Reen, Kem Nhuộm Tóc Reen Phủ Bạc Thảo Dược Màu Nâu Tự Nhiên 128g, 103.000 ₫, 36%, 162.000 ₫, 
L'Oreal, Màu Nhuộm L'Oreal Dưỡng Tóc Phủ Bạc 5 Nâu Hạt Dẻ 172ml, 162.000 ₫, 14%, 189.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Hương Trái Cây Ngọt Ngào 100ml, 63.000 ₫, 43%, 110.000 ₫, 
L'Oreal, Màu Nhuộm L'Oreal Dưỡng Tóc Phủ Bạc 5.35 Nâu Socola 172ml, 169.000 ₫, 15%, 199.000 ₫, 
Purité By Prôvence, Dầu Gội Ôliv Natural Nourish Dưỡng Tóc Bồng Bềnh 650ml, 158.000 ₫, 16%, 188.000 ₫, 
TRESemmé, Dầu Gội TRESemmé Ngăn Tóc Gãy Rụng 640g, 186.000 ₫, 15%, 220.000 ₫, 
Ellips, Serum Dưỡng Tóc Ellips Keratin Phục Hồi Hư Tổn Vỉ 6 Viên, 24.000 ₫, 10%, 26.750 ₫, 
Organist, Dầu Gội Organist Bạc Hà & Gừng Cho Da Đầu Gàu Ngứa 500ml, 103.000 ₫, 39%, 169.000 ₫, 
Milaganics, Dầu Dừa Milaganics Ép Lạnh Tinh Khiết 100ml, 46.000 ₫, 61%, 117.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu & Giảm Ngứa Da Đầu 5ml x 10 Gói, 47.000 ₫, 6%, 50.000 ₫, 
Milaganics, Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 250ml, 92.000 ₫, 61%, 234.000 ₫, 
Dove, Dầu Gội Dove Hỗ Trợ Phục Hồi Tóc Hư Tổn 640g, 123.000 ₫, 21%, 155.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Cocoon, Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 310ml, 291.000 ₫, 10%, 325.000 ₫, 
Cocoon, [Phiên Bản Mới] Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 140ml, 147.000 ₫, 11%, 165.000 ₫, 
TRESemmé, Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g+620g, 303.000 ₫, 18%, 370.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 250ml, 183.000 ₫, 16%, 217.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490mlx2, 298.000 ₫, 31%, 430.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Sạch Dầu Mát Lạnh (490ml/chai), 215.000 ₫, 49%, 418.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Dưỡng Tóc Bóng Mượt 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Tóc Bồng Bềnh Tức Thì 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Cocoon, Dầu Gội Bưởi Cocoon Giảm Rụng & Kích Thích Mọc Tóc 310ml, 219.000 ₫, 11%, 245.000 ₫, 
Tsubaki, Mặt Nạ Tóc Tsubaki Cao Cấp Phục Hồi Hư Tổn 180g, 192.000 ₫, 35%, 295.000 ₫, 
Double Rich, Nước Xịt Dưỡng Tóc Double Rich Chuyên Sâu Cho Tóc Nhuộm 250ml, 62.000 ₫, 27%, 85.000 ₫, 
L'Oreal, Dầu Dưỡng Tóc L’Oréal Chiết Xuất Hoa Hồng 100ml, 199.000 ₫, 13%, 229.000 ₫, 
Cocoon, Kem Ủ Tóc Bưởi Cocoon Giảm Gãy Rụng Và Làm Mềm Tóc 200ml, 192.000 ₫, 11%, 215.000 ₫, 
Selsun, Bộ Gội Xả Selsun Ngăn Gàu (Dầu Gội 250ml + Dầu Xả 100ml), 235.000 ₫, 11%, 264.000 ₫, 
Olaplex, Kem Ủ Olaplex No.3 Phục Hồi Tóc Hư Tổn 100ml, 690.000 ₫, 22%, 890.000 ₫, 
Nuxe, Dầu Khô Đa Năng Nuxe Dưỡng Ẩm Cho Da Mặt, 562.000 ₫, 25%, 745.000 ₫, 
Aromatica, Dầu Gội Aromatica Hương Thảo Ngăn Rụng Tóc 400ml, 399.000 ₫, 36%, 624.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Làm Sạch Tóc Sau 1 Lần Xịt 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Bigen, Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem #4 Nâu Caramen 80ml, 244.000 ₫, 1%, 246.000 ₫, 
Dove, Kem Xả Dove Serum 2in1 Tóc Phồng Dày & Ngăn Lão Hóa 230ml, 172.000 ₫, 25%, 230.000 ₫, 
Vichy, Dầu Gội Vichy Sạch Gàu Cho Da Đầu Dầu, 160.000 ₫, not available, not available, 
Ellips, Serum Dưỡng Tóc Ellips Keratin Óng Mượt Vỉ 6 viên, 24.000 ₫, 10%, 26.750 ₫, 
Reen, Kem Nhuộm Tóc Reen Phủ Bạc Thảo Dược Màu Đen 128g, 161.000 ₫, 1%, 162.000 ₫, 
Cocoon, Tinh Chất Dưỡng Tóc Cocoon Hỗ Trợ Phục Hồi & Bảo Vệ 70ml, 140.000 ₫, 15%, 165.000 ₫, 
Dove, Kem Xả Dove Óng Mềm Tự Nhiên 610g (Mới), 172.000 ₫, 9%, 190.000 ₫, 
