NSX, Description, New Price, Discount percent, Old Price, 
Kiehl's, Kem Dưỡng Ẩm Kiehl's (Phiên Bản Giới Hạn Tết 2023) 50ml, 900.000 ₫, 10%, 1.000.000 ₫, 
Kiehl's, [Hàng Tách Set] Tinh Chất Kiehl's 5% Niacinamide Kiềm Dầu & Giảm Mụn 30ml, 720.000 ₫, 10%, 800.000 ₫, 
Estee Lauder, [Mua 1 Tặng 1] Combo Estee Lauder Serum Phục Hồi Ngăn Ngừa Lão Hoá 30ml Tặng Kem Nền 1W1 Bone 30ml, 2.700.000 ₫, 37%, 4.300.000 ₫, 
Clinique, Dưỡng Ẩm Clinique Dạng Thạch Cấp Nước 24 Giờ 125ml, 1.105.000 ₫, 15%, 1.300.000 ₫, 
Estee Lauder, [Mua 1 Tặng 1] Kem Nền Estee Lauder Lâu Trôi 1W2 Sand 30mlx2, 1.600.000 ₫, 50%, 3.200.000 ₫, 
MAC, Kem Lót Bắt Sáng MAC Màu Silverlite - Trắng Bạc 50ml, 1.100.000 ₫, not available, not available, 
Estee Lauder, Kem Dưỡng Mắt Estee Lauder Dạng Gel Giảm Quầng Thâm 15ml, 1.913.000 ₫, 15%, 2.250.000 ₫, 
MAC, Son Kem MAC 997 Over The Taupe - Nâu Tây 5ml, 830.000 ₫, not available, not available, 
MAC, Son Kem MAC 996 Date-Maker - Hồng Da 5ml, 830.000 ₫, not available, not available, 
SkinCeuticals, Tinh Chất SkinCeuticals Hỗ Trợ Cấp Ẩm & Tái Tạo Da 30ml, 1.955.000 ₫, not available, not available, 
MAC, Son Thỏi MAC Mịn Lì 646 Marrakesh - Đỏ Đất 3g, 650.000 ₫, not available, not available, 
Estee Lauder, [Mua 1 Tặng 1] Combo Estee Lauder Serum Phục Hồi Ngăn Ngừa Lão Hoá 30ml Tặng Kem Nền 1W2 Sand 30ml, 2.700.000 ₫, 37%, 4.300.000 ₫, 
Kiehl's, [Hàng Tách Set] Mặt Nạ Kiehl's Từ Dầu Quả Bơ Dưỡng Ẩm Da 25g, 495.000 ₫, 10%, 550.000 ₫, 
MAC, Nước Xịt Khoáng Hoàn Tất Trang Điểm MAC 100ml, 860.000 ₫, not available, not available, 
Laneige, Serum Laneige Cao Cấp Thúc Đẩy Dưỡng Sáng Da 150ml, 839.000 ₫, 20%, 1.050.000 ₫, 
MAC, [Mua 1 Tặng 1] Son Thỏi MAC Mịn Lì Marrakesh 3g + Tặng Son Thỏi Siêu Lì Ruby Woo 3g, 650.000 ₫, 50%, 1.300.000 ₫, 
MAC, Kem Nền MAC Lâu Trôi #NC15 Màu Be Nhạt Cho Da Sáng 30ml, 1.090.000 ₫, not available, not available, 
Clinique, Kem Dưỡng Clinique Cấp Ẩm Chuyên Sâu 75ml, 1.649.000 ₫, 15%, 1.940.000 ₫, 
Clinique, Lotion Dưỡng Ẩm Clinique Dành Cho Da Khô, 1.105.000 ₫, 15%, 1.300.000 ₫, 
Estee Lauder, [Mua 1 Tặng 1] Combo Estee Lauder Kem Dưỡng Mắt Giảm Quầng Thâm 15ml Tặng Kem Nền 1W2 Sand 30ml, 2.250.000 ₫, 42%, 3.850.000 ₫, 
Clinique, Kem Dưỡng Clinique Cấp Ẩm Chuyên Sâu 50ml, 1.241.000 ₫, 15%, 1.460.000 ₫, 
MAC, [Mua 1 Tặng 1] Son Thỏi MAC Mịn Lì 646 Marrakesh - Đỏ Đất 3gx2, 650.000 ₫, 50%, 1.300.000 ₫, 
Kiehl's, Serum Kiehl's Thảo Dược Phục Hồi & Tăng Cường Độ Tươi Trẻ 30ml, 1.350.000 ₫, 10%, 1.500.000 ₫, 
Estee Lauder, Tinh Chất Estee Lauder Phục Hồi Ngăn Ngừa Lão Hóa 50ml, 3.145.000 ₫, 15%, 3.700.000 ₫, 
MAC, Son Kem MAC 979 Impulsive - Cam Đào 5ml, 830.000 ₫, not available, not available, 
Estee Lauder, Nước Dưỡng Tinh Chất Estee Lauder Kích Hoạt Làn Da 100ml, 1.870.000 ₫, 15%, 2.200.000 ₫, 
MAC, Phấn Bắt Sáng MAC Màu Show Gold 9g, 1.070.000 ₫, not available, not available, 
SkinCeuticals, Tinh Chất Skinceuticals Giảm Mụn & Khuyết Điểm Sau Mụn 30ml, 2.150.000 ₫, not available, not available, 
Clinique, Kem Dưỡng Clinique Cấp Ẩm Chuyên Sâu 15ml, 417.000 ₫, 15%, 490.000 ₫, 
Laneige, Bộ Sản Phẩm Laneige Ngăn Ngừa Lão Hoá & Nếp Nhăn 4 Món, 567.000 ₫, 21%, 720.000 ₫, 
MAC, Phấn Nền Phủ MAC #NC20 Màu Be Vàng Cho Da Sáng 15g, 1.090.000 ₫, not available, not available, 
MAC, Son Kem MAC 989 Mull It Over - Cam Hồng Đất 5ml, 830.000 ₫, not available, not available, 
Estee Lauder, Tinh Chất Estee Lauder Dưỡng Sáng Hồng & Mờ Sạm Nám 50ml, 3.290.000 ₫, 15%, 3.870.000 ₫, 
Laneige, [Mini] Serum Laneige Ngăn Ngừa Lão Hóa Da 7ml, 175.000 ₫, not available, not available, 
Shu Uemura, Dầu Tẩy Trang Shu Uemura Ngăn Ngừa Ô Nhiễm & Bụi Bẩn 150ml, 799.000 ₫, 27%, 1.100.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 8g, 191.000 ₫, 13%, 220.000 ₫, 
