NSX, Description, New Price, Discount percent, Old Price, 
Cocoon, Nước Tẩy Trang Cocoon Hoa Hồng Cấp Ẩm Da 310ml, 207.000 ₫, 16%, 245.000 ₫, 
Maybelline, Son Bóng Maybelline 130 Extra - Đỏ Nâu Đất 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
Maybelline, Kem Lót Maybelline Kiềm Dầu Ngăn Xuống Tông SPF 20 30ml, 185.000 ₫, 15%, 218.000 ₫, 
3CE, Son Kem Lì 3CE Sepia - Đỏ Gạch Đậm 4.6g, 272.000 ₫, 20%, 340.000 ₫, 
The SAEM, Kem Che Khuyết Điểm The Saem Màu 1.25 Light Beige 6.5g, 95.000 ₫, 52%, 200.000 ₫, 
Jomi, Phim Thấm Dầu Jomi 70 Tờ, 48.000 ₫, 20%, 60.000 ₫, 
Maybelline, Kem Che Khuyết Điểm Maybelline Mịn Lì 10 Light 6.8ml, 122.000 ₫, 23%, 158.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A06 Brick Red - Đỏ Đất 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Như Nhung Daffodil - Đỏ Đất 4g, 272.000 ₫, 20%, 340.000 ₫, 
Gogo Tales, Bảng Phấn Mắt Gogo Tales Màu 202 Classic Orange 25 Ô, 164.000 ₫, 18%, 199.000 ₫, 
Glamrr Q, Siêu Phấn Nước Glamrr Q Che Phủ 02 Màu Tự Nhiên 15g, 364.000 ₫, 44%, 650.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A07 Purecrimeson - Đỏ Cam Đào 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Bella, Bông Tẩy Trang Bella Duo Cotton 500 Miếng, 95.000 ₫, 41%, 160.000 ₫, 
Maybelline, Phấn Phủ Maybelline Mịn Lì Kiềm Dầu 110 Porcelain 8.5g, 149.000 ₫, 21%, 188.000 ₫, 
Cocoon, Son Dưỡng Cocoon Dầu Dừa Bến Tre 5g, 28.000 ₫, 12%, 32.000 ₫, 
Hotosu, Combo 2 Bông Tẩy Trang Hotosu Hộp 80 Miếng, 49.000 ₫, 30%, 70.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A03 Soft Red - Đỏ Cam 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Mediheal, Son Dưỡng Môi Mediheal Ban Ngày Màu Cam 10ml, 66.000 ₫, 54%, 143.000 ₫, 
innisfree, Combo 2 Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023), 252.000 ₫, 30%, 360.000 ₫, 
Glamrr Q, Phấn Nước Glamrr Q Kiềm Dầu Dưỡng Da 02 Màu Tự Nhiên 13g, 314.000 ₫, 40%, 525.000 ₫, 
LEMONADE, Phấn Nước Lemonade Siêu Kiềm Dầu Màu 01 Light 15g, 279.000 ₫, 20%, 349.000 ₫, 
Silkygirl, Xịt Khoá Makeup Silkygirl Giữ Lớp Trang Điểm Lâu Trôi 70ml, 124.000 ₫, 26%, 168.000 ₫, 
innisfree, Chì Kẻ Chân Mày innisfree Màu 5 Expresso Brown (Mới) 0.3g, 81.000 ₫, 26%, 109.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A50 Soldout Chili - Sắc Đỏ Chili 4.5ml, 169.000 ₫, 43%, 298.000 ₫, 
Maybelline, Kem Nền Maybelline Tươi Mướt Chống Nắng SPF50 30ml #01, 169.000 ₫, 22%, 218.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cao Cấp Hộp 66 Miếng, 32.000 ₫, 32%, 47.000 ₫, 
Kissme, Mascara Kissme Nâng Cong Và Dài Mi Màu Đen 6g, 228.000 ₫, 15%, 268.000 ₫, 
Maybelline, Kem Nền Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng #115 30ml, 208.000 ₫, 22%, 268.000 ₫, 
3CE, Son Kem Lì 3CE Casual Affair - Hoa Hồng Khô 4.6g, 272.000 ₫, 20%, 340.000 ₫, 
3CE, Son Kem Lì 3CE Laydown - Hồng Đào Trầm Pha Nâu 4.6g, 288.000 ₫, 15%, 340.000 ₫, 
Silcot, Combo 2 Bông Tẩy Trang Silcot Cơ Bản 82 Miếng/Hộp, 68.000 ₫, 3%, 70.000 ₫, 
australis, Bút Kẻ Mắt Australis Siêu Mảnh Không Lem Không Trôi, 204.000 ₫, 20%, 255.000 ₫, 
Vaseline, Son Dưỡng Môi Vaseline Hồng Xinh 4.8g, 55.000 ₫, 21%, 70.000 ₫, 
Ipek Klasik, Combo 3 Bông Tẩy Trang Ipek 150 Miếng, 83.000 ₫, 45%, 150.000 ₫, 
Hotosu, Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 50.000 ₫, 29%, 70.000 ₫, 
Hotosu, Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 25.000 ₫, 29%, 35.000 ₫, 
DHC, Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g, 159.000 ₫, 20%, 199.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Ipek Klasik, Combo 4 Bông Tẩy Trang Ipek 150 Miếng, 111.000 ₫, 44%, 200.000 ₫, 
Vaseline, Sáp Dưỡng Môi Vaseline Hồng Xinh 7g, 55.000 ₫, 33%, 82.000 ₫, 
innisfree, Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023), 121.000 ₫, 33%, 180.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng, 47.000 ₫, 15%, 55.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Silcot, Combo 3 Bông Tẩy Trang Silcot Cơ Bản 82 Miếng/Hộp, 100.000 ₫, 15%, 117.000 ₫, 
Hotosu, Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 125.000 ₫, 29%, 175.000 ₫, 
Ipek Klasik, Bông Tẩy Trang Ipek 150 Miếng, 27.000 ₫, 37%, 43.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng, 32.000 ₫, 27%, 44.000 ₫, 
Browit, Chuốt Mi Browit Kéo Dài Và Cong Mi Dạng Đầu Lược 5.5g, 99.000 ₫, 34%, 149.000 ₫, 
