NSX, Description, New Price, Discount percent, Old Price, 
Gennie, Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml, 189.000 ₫, 50%, 378.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 50ml, 1.927.000 ₫, 40%, 3.190.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml, 354.000 ₫, 36%, 550.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce 88ml, 99.000 ₫, 41%, 169.000 ₫, 
Bodymiss, Xịt Thơm Toàn Thân Bodymiss Hương Money Honey 35ml, 55.000 ₫, 30%, 79.000 ₫, 
Silkygirl, Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush 50ml, 149.000 ₫, 15%, 176.000 ₫, 
Calvin Klein, [Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT 10ml, 380.000 ₫, not available, not available, 
Gennie, Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn 10ml, 99.000 ₫, 45%, 179.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #07 Hoian 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Verites, Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, 289.000 ₫, not available, not available, 
Verites, Nước Hoa Nam Verites De Club Cuốn Hút, 289.000 ₫, not available, not available, 
Silkygirl, Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom 50ml, 149.000 ₫, 25%, 198.000 ₫, 
Silkygirl, Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush 50ml, 98.000 ₫, 1%, 99.000 ₫, 
Verites, Nước Hoa Unisex Verites Chasing Cloud Tươi Mới 50ml, 289.000 ₫, not available, not available, 
Silkygirl, Nước Hoa Nữ Silkygirl 2 Đầu 4 Hương 02 Love 5mlx2, 110.000 ₫, 7%, 118.000 ₫, 
Laura Anne, Nước Hoa Nữ Laura Anne Mystic For Her 50ml (Xám), 187.000 ₫, 37%, 299.000 ₫, 
Laura Anne, Nước Hoa Nam Laura Anne Dynamic For Him 50ml (Xanh), 223.000 ₫, 25%, 299.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Desire 88ml, 126.000 ₫, 25%, 169.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Sweetie 88ml, 126.000 ₫, 25%, 169.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Hottie 88ml, 99.000 ₫, 41%, 169.000 ₫, 
Silkygirl, Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Floral Blush 50ml, 149.000 ₫, 25%, 198.000 ₫, 
De Memoria, Nước Hoa Nam De Memoria EDP #12 Bagan 30ml, 369.000 ₫, 33%, 550.000 ₫, 
Silkygirl, Nước Hoa Nữ Silkygirl 2 Đầu 4 Hương 03 Joyful 5mlx2, 110.000 ₫, 7%, 118.000 ₫, 
TOMMY, Nước Hoa Nam TOMMY Cologne EDT 30ml, 899.000 ₫, 34%, 1.360.000 ₫, 
TOMMY, Nước Hoa Nam Tommy Impact Intense EDP 50ml, 2.250.000 ₫, not available, not available, 
Carolina Herrera, Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP 80ml, 3.933.000 ₫, 10%, 4.370.000 ₫, 
Carolina Herrera, Nước Hoa Nữ Carolina Herrera Very Good Girl EDP 30ml, 1.846.000 ₫, 16%, 2.200.000 ₫, 
TOMMY, Nước Hoa Nữ Tommy Now Girl EDT 30ml, 1.360.000 ₫, not available, not available, 
TOMMY, Nước Hoa Nam Tommy Now EDT 30ml, 1.360.000 ₫, not available, not available, 
Silkygirl, Nước Hoa Nữ Silkygirl 2 Đầu 4 Hương 01 Star 5mlx2, 110.000 ₫, 7%, 118.000 ₫, 
TOMMY, Nước Hoa Nữ Tommy Girl Cologne EDT 30ml, 839.000 ₫, 38%, 1.360.000 ₫, 
TOMMY, Nước Hoa Nam Tommy Impact EDT 50ml, 2.130.000 ₫, not available, not available, 
Laura Anne, Nước Hoa Nữ Laura Anne Dynamic For Her 50ml (Xanh), 193.000 ₫, 35%, 299.000 ₫, 
Versace, Nước Hoa Nam Versace Pour Homme Dylan Blue EDT 100ml, 1.815.000 ₫, 25%, 2.420.000 ₫, 
De Memoria, Nước Hoa Nam Nữ De Memoria EDP #11 Tai O 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Moschino, Nước Hoa Nữ Moschino Toy 2 EDP 100ml, 1.540.000 ₫, 37%, 2.442.000 ₫, 
Jean Paul Gaultier, Nước Hoa Nữ Jean Paul Gaultier Scandal EDP 30ml, 1.890.000 ₫, 10%, 2.100.000 ₫, 
Chloé, Nước Hoa Nữ Chloé Nomade Eau De Parfum 75ml, 2.932.000 ₫, 32%, 4.290.000 ₫, 
Moschino, Nước Hoa Nam Moschino Toy Boy EDP 100ml, 2.255.000 ₫, not available, not available, 
Chloé, Nước Hoa Nữ Chloé L'Eau Eau De Toilette 100ml, 2.835.000 ₫, 31%, 4.130.000 ₫, 
Versace, Nước Hoa Nam Versace Pour Homme Eau De Toilette 100ml, 1.544.000 ₫, 35%, 2.376.000 ₫, 
Burberry, Nước Hoa Nữ Burberry Her Blossom EDT 100ml, 2.703.000 ₫, 33%, 4.030.000 ₫, 
Salvatore Ferragamo, Nước Hoa Nữ Signorina Misteriosa 100ml, 1.820.000 ₫, 22%, 2.330.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme 45ml (Trắng), 359.000 ₫, 35%, 549.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml, 144.000 ₫, 59%, 350.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng), 299.000 ₫, 46%, 549.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme 45ml (Đen), 348.000 ₫, 37%, 549.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ), 357.000 ₫, 35%, 549.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Gold Dress 50ml, 143.000 ₫, 35%, 219.000 ₫, 
Gota, Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml, 191.000 ₫, 35%, 296.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal EDT 90ml, 1.691.000 ₫, 39%, 2.760.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml, 179.000 ₫, 49%, 350.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Black Dress 50ml, 163.000 ₫, 26%, 219.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love 88ml, 127.000 ₫, 25%, 169.000 ₫, 
Gennie, Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml, 189.000 ₫, 50%, 378.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 50ml, 1.927.000 ₫, 40%, 3.190.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml, 354.000 ₫, 36%, 550.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml, 354.000 ₫, 36%, 550.000 ₫, 
LACOSTE, Nước Hoa Nam Lacoste Match Point EDT 100ml, 1.788.000 ₫, 40%, 2.970.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Perfect EDP 100ml, 2.589.000 ₫, 37%, 4.110.000 ₫, 
Bodymiss, [HSD 03/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 35ml, 44.000 ₫, not available, not available, 
Versace, Nước Hoa Nữ Versace Yellow Diamond EDT 90ml, 1.989.000 ₫, 26%, 2.706.000 ₫, 
Salvatore Ferragamo, Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP 100ml, 1.800.000 ₫, 44%, 3.223.000 ₫, 
Silkygirl, Combo Nước Hoa 2 Đầu Silkygirl Hương 02 Love + 03 Joyful, 212.000 ₫, 10%, 236.000 ₫, 
Verites, Nước Hoa Nữ Verites Starstruck Ngọt Ngào, 289.000 ₫, not available, not available, 
Burberry, Nước Hoa Nữ Burberry Her EDP 100ml, 2.967.000 ₫, 41%, 4.990.000 ₫, 
Versace, Nước Hoa Nam Versace Man Eau Fraiche EDT 100ml, 1.862.000 ₫, 19%, 2.299.000 ₫, 
Bodymiss, [HSD 03/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 105ml, 87.000 ₫, 44%, 156.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 30ml, 1.264.000 ₫, 45%, 2.290.000 ₫, 
X-Men, Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát 50ml, 99.000 ₫, 6%, 105.000 ₫, 
Calvin Klein, Nước Hoa Nam Calvin Klein Euphoria For Men EDT 100ml, 1.677.000 ₫, 40%, 2.780.000 ₫, 
Malissa Kiss, [HSD 07/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach 88ml, 68.000 ₫, 52%, 142.000 ₫, 
Chloé, [Mini] Nước Hoa Nữ Chloe Eau De Parfum 5ml, 190.000 ₫, 46%, 350.000 ₫, 
Malissa Kiss, Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Sweet Vanilla Cotton, 304.000 ₫, 10%, 338.000 ₫, 
Lancôme, Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI 50ml, 2.239.000 ₫, 17%, 2.700.000 ₫, 
Burberry, [Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.5ml, 68.000 ₫, 1%, 69.000 ₫, 
Malissa Kiss, Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Happy Sundae, 304.000 ₫, 10%, 338.000 ₫, 
Chloé, Nước Hoa Nữ Chloé Eau De Parfum 75ml, 2.843.000 ₫, 34%, 4.290.000 ₫, 
Hugo Boss, Nước Hoa Nam HUGO BOSS Bottled Night EDT 100ml, 1.790.000 ₫, 30%, 2.560.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy EDT 100ml, 2.249.000 ₫, 37%, 3.570.000 ₫, 
Burberry, Nước Hoa Nam Mr.Burberry Indigo EDT 50ml, 1.509.000 ₫, 31%, 2.180.000 ₫, 
Salvatore Ferragamo, Nước Hoa Nữ Salvatore Ferragamo Signorina Misteriosa EDP 50ml, 1.320.000 ₫, 44%, 2.354.000 ₫, 
Calvin Klein, Nước Hoa Nam Calvin Klein Free Eau De Toilette 50ml, 983.000 ₫, 48%, 1.880.000 ₫, 
Versace, Nước Hoa Nam Versace Eros EDP 100ml, 1.930.000 ₫, 30%, 2.761.000 ₫, 
Lancôme, [Mini] Nước Hoa Nữ Lancôme La Vie Est Belle EDP 10ml, 550.000 ₫, not available, not available, 
Versace, Nước Hoa Nam Versace Eros Flame EDP 100ml, 2.236.000 ₫, 19%, 2.761.000 ₫, 
Chloé, [HSD 09/2024] Nước Hoa Nữ Chloé Eau De Parfum 75ml, 2.162.000 ₫, 50%, 4.290.000 ₫, 
Calvin Klein, Nước Hoa Nam Calvin Klein Eternity Aqua EDT 100ml, 1.422.000 ₫, 45%, 2.580.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal EDT 50ml, 1.190.000 ₫, 59%, 2.905.000 ₫, 
Hugo Boss, Nước Hoa Nam Hugo Boss Bottled Eau De Parfum 50ml, 1.544.000 ₫, 35%, 2.360.000 ₫, 
Verites, Nước Hoa Nữ Verites Her Summer Nữ Tính, 289.000 ₫, not available, not available, 
Hugo Boss, [HSD 03/2024] Nước Hoa Nữ Hugo Boss The Scent EDP 100ml, 999.000 ₫, 73%, 3.710.000 ₫, 
Laura Anne, [HSD 04/2024] Nước Hoa Nữ Laura Anne Dynamic For Her 50ml (Xanh), 89.000 ₫, 35%, 136.000 ₫, 
Hugo Boss, Nước Hoa Nữ Hugo Boss The Scent EDP 100ml, 2.496.000 ₫, 33%, 3.710.000 ₫, 
Malissa Kiss, Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Cozy Beach, 304.000 ₫, 10%, 338.000 ₫, 
De Memoria, [HSD 06/2024] Nước Hoa Nữ De Memoria #03 Granada Hương Quyến Rũ 30ml, 185.000 ₫, 66%, 550.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme 45ml (Trắng), 359.000 ₫, 35%, 549.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml, 144.000 ₫, 59%, 350.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng), 299.000 ₫, 46%, 549.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme 45ml (Đen), 348.000 ₫, 37%, 549.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ), 357.000 ₫, 35%, 549.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Gold Dress 50ml, 143.000 ₫, 35%, 219.000 ₫, 
Gota, Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml, 191.000 ₫, 35%, 296.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal EDT 90ml, 1.691.000 ₫, 39%, 2.760.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml, 179.000 ₫, 49%, 350.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Black Dress 50ml, 163.000 ₫, 26%, 219.000 ₫, 
